image_path,ifc_class,ifc_type,confidence,det_class,det_conf,ocr_text,ocr_conf,conflict
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.54163a668bc2b5870e8e4e6413294c80.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.7ee6d3e9f0d4e92057e8aeceb10be1f1.jpg,IfcDoor,EXIT,1.0,exit,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcStair,STAIR,1.0,stairs,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,IfcFireSuppressionTerminal,FIREEXTINGUISHER,1.0,fire extinguisher,1.0,no_text,0.0,False
